Industry,OrgSize,Category,Rank,Tool,Count,Pct,CategoryRespondents,GroupSize
Banking/Financial Services,500 to 999 employees,Platform,2,Amazon Web Services (AWS),44,57.9,76,114
Banking/Financial Services,500 to 999 employees,Platform,3,npm,34,44.7,76,114
Banking/Financial Services,500 to 999 employees,Platform,4,Kubernetes,32,42.1,76,114
Banking/Financial Services,500 to 999 employees,Platform,5,Pip,25,32.9,76,114
Banking/Financial Services,I don’t know,AIModels,1,openAI GPT (chatbot models),9,90.0,10,26
Banking/Financial Services,I don’t know,AIModels,2,Anthropic: Claude Sonnet,4,40.0,10,26
Banking/Financial Services,I don’t know,AIModels,3,openAI Image generating models,4,40.0,10,26
Banking/Financial Services,I don’t know,AIModels,4,openAI Reasoning models,4,40.0,10,26
Banking/Financial Services,I don’t know,AIModels,5,Mistral AI models,3,30.0,10,26
Banking/Financial Services,I don’t know,Database,1,Microsoft SQL Server,13,61.9,21,26
Banking/Financial Services,I don’t know,Database,2,MySQL,12,57.1,21,26
Banking/Financial Services,I don’t know,Database,3,PostgreSQL,10,47.6,21,26
Banking/Financial Services,I don’t know,Database,4,MariaDB,6,28.6,21,26
Banking/Financial Services,I don’t know,Database,5,Oracle,6,28.6,21,26
Banking/Financial Services,I don’t know,Platform,1,Amazon Web Services (AWS),11,61.1,18,26
Banking/Financial Services,I don’t know,Platform,2,Docker,8,44.4,18,26
Banking/Financial Services,I don’t know,Platform,3,Kubernetes,8,44.4,18,26
Banking/Financial Services,I don’t know,Platform,4,Maven (build tool),8,44.4,18,26
Banking/Financial Services,I don’t know,Platform,5,npm,8,44.4,18,26
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,1,openAI GPT (chatbot models),11,84.6,13,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,2,Gemini (Flash general purpose models),6,46.2,13,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,3,openAI Reasoning models,4,30.8,13,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,4,Anthropic: Claude Sonnet,3,23.1,13,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,5,DeepSeek (R- Reasoning models),3,23.1,13,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,1,Microsoft SQL Server,11,45.8,24,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,2,MySQL,10,41.7,24,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,3,SQLite,8,33.3,24,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,4,Oracle,7,29.2,24,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,5,PostgreSQL,7,29.2,24,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,1,Amazon Web Services (AWS),14,66.7,21,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,2,Google Cloud,11,52.4,21,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,3,Cloudflare,6,28.6,21,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,4,Docker,6,28.6,21,35
Banking/Financial Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,5,npm,6,28.6,21,35
Banking/Financial Services,Less than 20 employees,AIModels,1,openAI GPT (chatbot models),27,77.1,35,92
Banking/Financial Services,Less than 20 employees,AIModels,2,openAI Reasoning models,14,40.0,35,92
Banking/Financial Services,Less than 20 employees,AIModels,3,Gemini (Flash general purpose models),12,34.3,35,92
Banking/Financial Services,Less than 20 employees,AIModels,4,Anthropic: Claude Sonnet,11,31.4,35,92
Banking/Financial Services,Less than 20 employees,AIModels,5,DeepSeek (R- Reasoning models),8,22.9,35,92
Banking/Financial Services,Less than 20 employees,Database,1,PostgreSQL,40,54.1,74,92
Banking/Financial Services,Less than 20 employees,Database,2,MySQL,36,48.6,74,92
Banking/Financial Services,Less than 20 employees,Database,3,Microsoft SQL Server,27,36.5,74,92
Banking/Financial Services,Less than 20 employees,Database,4,SQLite,25,33.8,74,92
Banking/Financial Services,Less than 20 employees,Database,5,Redis,20,27.0,74,92
Banking/Financial Services,Less than 20 employees,Platform,1,Docker,40,72.7,55,92
Banking/Financial Services,Less than 20 employees,Platform,2,npm,26,47.3,55,92
Banking/Financial Services,Less than 20 employees,Platform,3,Pip,23,41.8,55,92
Banking/Financial Services,Less than 20 employees,Platform,4,Amazon Web Services (AWS),20,36.4,55,92
Banking/Financial Services,Less than 20 employees,Platform,5,Kubernetes,20,36.4,55,92
Computer Systems Design and Services,"1,000 to 4,999 employees",AIModels,1,openAI GPT (chatbot models),22,71.0,31,71
Computer Systems Design and Services,"1,000 to 4,999 employees",AIModels,2,Gemini (Flash general purpose models),17,54.8,31,71
Computer Systems Design and Services,"1,000 to 4,999 employees",AIModels,3,openAI Reasoning models,15,48.4,31,71
Computer Systems Design and Services,"1,000 to 4,999 employees",AIModels,4,Anthropic: Claude Sonnet,14,45.2,31,71
Computer Systems Design and Services,"1,000 to 4,999 employees",AIModels,5,Gemini (Pro Reasoning models),14,45.2,31,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Database,1,PostgreSQL,26,61.9,42,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Database,2,SQLite,17,40.5,42,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Database,3,Redis,12,28.6,42,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Database,4,MariaDB,11,26.2,42,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Database,5,MySQL,11,26.2,42,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Platform,1,Docker,35,74.5,47,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Platform,2,Pip,26,55.3,47,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Platform,3,npm,21,44.7,47,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Platform,4,Kubernetes,20,42.6,47,71
Computer Systems Design and Services,"1,000 to 4,999 employees",Platform,5,Amazon Web Services (AWS),19,40.4,47,71
Computer Systems Design and Services,"10,000 or more employees",AIModels,1,openAI GPT (chatbot models),41,75.9,54,157
Computer Systems Design and Services,"10,000 or more employees",AIModels,2,Gemini (Flash general purpose models),26,48.1,54,157
Computer Systems Design and Services,"10,000 or more employees",AIModels,3,openAI Reasoning models,26,48.1,54,157
Computer Systems Design and Services,"10,000 or more employees",AIModels,4,Anthropic: Claude Sonnet,22,40.7,54,157
Computer Systems Design and Services,"10,000 or more employees",AIModels,5,Gemini (Pro Reasoning models),22,40.7,54,157
Computer Systems Design and Services,"10,000 or more employees",Database,1,PostgreSQL,43,52.4,82,157
Computer Systems Design and Services,"10,000 or more employees",Database,2,SQLite,37,45.1,82,157
Computer Systems Design and Services,"10,000 or more employees",Database,3,MySQL,29,35.4,82,157
Computer Systems Design and Services,"10,000 or more employees",Database,4,MongoDB,21,25.6,82,157
Computer Systems Design and Services,"10,000 or more employees",Database,5,Microsoft SQL Server,19,23.2,82,157
Computer Systems Design and Services,"10,000 or more employees",Platform,1,Docker,69,72.6,95,157
Computer Systems Design and Services,"10,000 or more employees",Platform,2,Pip,54,56.8,95,157
Computer Systems Design and Services,"10,000 or more employees",Platform,3,Make,43,45.3,95,157
Computer Systems Design and Services,"10,000 or more employees",Platform,4,npm,35,36.8,95,157
Computer Systems Design and Services,"10,000 or more employees",Platform,5,Amazon Web Services (AWS),34,35.8,95,157
Computer Systems Design and Services,100 to 499 employees,AIModels,1,openAI GPT (chatbot models),38,76.0,50,134
Computer Systems Design and Services,100 to 499 employees,AIModels,2,Anthropic: Claude Sonnet,25,50.0,50,134
Computer Systems Design and Services,100 to 499 employees,AIModels,3,Gemini (Flash general purpose models),15,30.0,50,134
Computer Systems Design and Services,100 to 499 employees,AIModels,4,Gemini (Pro Reasoning models),14,28.0,50,134
Computer Systems Design and Services,100 to 499 employees,AIModels,5,openAI Reasoning models,14,28.0,50,134
Computer Systems Design and Services,100 to 499 employees,Database,1,PostgreSQL,56,70.9,79,134
Computer Systems Design and Services,100 to 499 employees,Database,2,MySQL,34,43.0,79,134
Computer Systems Design and Services,100 to 499 employees,Database,3,SQLite,33,41.8,79,134
Computer Systems Design and Services,100 to 499 employees,Database,4,Redis,22,27.8,79,134
Computer Systems Design and Services,100 to 499 employees,Database,5,MariaDB,21,26.6,79,134
Computer Systems Design and Services,100 to 499 employees,Platform,1,Docker,64,70.3,91,134
Computer Systems Design and Services,100 to 499 employees,Platform,2,Pip,50,54.9,91,134
Computer Systems Design and Services,100 to 499 employees,Platform,3,Amazon Web Services (AWS),41,45.1,91,134
Computer Systems Design and Services,100 to 499 employees,Platform,4,npm,40,44.0,91,134
Computer Systems Design and Services,100 to 499 employees,Platform,5,Make,32,35.2,91,134
Computer Systems Design and Services,20 to 99 employees,AIModels,1,openAI GPT (chatbot models),43,76.8,56,127
Computer Systems Design and Services,20 to 99 employees,AIModels,2,Anthropic: Claude Sonnet,25,44.6,56,127
Computer Systems Design and Services,20 to 99 employees,AIModels,3,openAI Reasoning models,23,41.1,56,127
Computer Systems Design and Services,20 to 99 employees,AIModels,4,Gemini (Flash general purpose models),19,33.9,56,127
Computer Systems Design and Services,20 to 99 employees,AIModels,5,Meta Llama (all models),14,25.0,56,127
Computer Systems Design and Services,20 to 99 employees,Database,1,PostgreSQL,55,61.8,89,127
Computer Systems Design and Services,20 to 99 employees,Database,2,MySQL,35,39.3,89,127
Computer Systems Design and Services,20 to 99 employees,Database,3,Microsoft SQL Server,34,38.2,89,127
Computer Systems Design and Services,20 to 99 employees,Database,4,SQLite,33,37.1,89,127
Computer Systems Design and Services,20 to 99 employees,Database,5,Redis,26,29.2,89,127
Computer Systems Design and Services,20 to 99 employees,Platform,1,Docker,78,85.7,91,127
Computer Systems Design and Services,20 to 99 employees,Platform,2,npm,50,54.9,91,127
Computer Systems Design and Services,20 to 99 employees,Platform,3,Amazon Web Services (AWS),44,48.4,91,127
Computer Systems Design and Services,20 to 99 employees,Platform,4,Pip,42,46.2,91,127
Computer Systems Design and Services,20 to 99 employees,Platform,5,Microsoft Azure,31,34.1,91,127
Computer Systems Design and Services,"5,000 to 9,999 employees",AIModels,1,Anthropic: Claude Sonnet,8,66.7,12,34
Computer Systems Design and Services,"5,000 to 9,999 employees",AIModels,2,openAI GPT (chatbot models),7,58.3,12,34
Computer Systems Design and Services,"5,000 to 9,999 employees",AIModels,3,openAI Reasoning models,5,41.7,12,34
Computer Systems Design and Services,"5,000 to 9,999 employees",AIModels,4,Gemini (Pro Reasoning models),4,33.3,12,34
Computer Systems Design and Services,"5,000 to 9,999 employees",AIModels,5,Gemini (Flash general purpose models),3,25.0,12,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Database,1,PostgreSQL,11,57.9,19,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Database,2,SQLite,10,52.6,19,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Database,3,MariaDB,7,36.8,19,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Database,4,MySQL,7,36.8,19,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Database,5,Databricks SQL,4,21.1,19,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Platform,1,Docker,15,75.0,20,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Platform,2,Pip,13,65.0,20,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Platform,3,Amazon Web Services (AWS),11,55.0,20,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Platform,4,Homebrew,10,50.0,20,34
Computer Systems Design and Services,"5,000 to 9,999 employees",Platform,5,Kubernetes,6,30.0,20,34
Computer Systems Design and Services,500 to 999 employees,AIModels,1,openAI GPT (chatbot models),12,80.0,15,43
Computer Systems Design and Services,500 to 999 employees,AIModels,2,Anthropic: Claude Sonnet,11,73.3,15,43
Computer Systems Design and Services,500 to 999 employees,AIModels,3,Gemini (Flash general purpose models),11,73.3,15,43
Computer Systems Design and Services,500 to 999 employees,AIModels,4,Gemini (Pro Reasoning models),7,46.7,15,43
Computer Systems Design and Services,500 to 999 employees,AIModels,5,openAI Reasoning models,7,46.7,15,43
Computer Systems Design and Services,500 to 999 employees,Database,1,MySQL,16,59.3,27,43
Computer Systems Design and Services,500 to 999 employees,Database,2,PostgreSQL,15,55.6,27,43
Computer Systems Design and Services,500 to 999 employees,Database,3,SQLite,14,51.9,27,43
Computer Systems Design and Services,500 to 999 employees,Database,4,Redis,11,40.7,27,43
Computer Systems Design and Services,500 to 999 employees,Database,5,Microsoft SQL Server,9,33.3,27,43
Computer Systems Design and Services,500 to 999 employees,Platform,1,Docker,20,76.9,26,43
Computer Systems Design and Services,500 to 999 employees,Platform,2,Amazon Web Services (AWS),17,65.4,26,43
Computer Systems Design and Services,500 to 999 employees,Platform,3,Pip,15,57.7,26,43
Computer Systems Design and Services,500 to 999 employees,Platform,4,Microsoft Azure,12,46.2,26,43
Computer Systems Design and Services,500 to 999 employees,Platform,5,npm,12,46.2,26,43
Computer Systems Design and Services,I don’t know,AIModels,1,openAI GPT (chatbot models),6,85.7,7,22
Computer Systems Design and Services,I don’t know,AIModels,2,DeepSeek (R- Reasoning models),4,57.1,7,22
Computer Systems Design and Services,I don’t know,AIModels,3,Gemini (Flash general purpose models),4,57.1,7,22
Computer Systems Design and Services,I don’t know,AIModels,4,Gemini (Pro Reasoning models),4,57.1,7,22
Computer Systems Design and Services,I don’t know,AIModels,5,Anthropic: Claude Sonnet,3,42.9,7,22
Computer Systems Design and Services,I don’t know,Database,1,PostgreSQL,7,53.8,13,22
Computer Systems Design and Services,I don’t know,Database,2,SQLite,6,46.2,13,22
Computer Systems Design and Services,I don’t know,Database,3,MariaDB,3,23.1,13,22
Computer Systems Design and Services,I don’t know,Database,4,Microsoft SQL Server,3,23.1,13,22
Computer Systems Design and Services,I don’t know,Database,5,MySQL,3,23.1,13,22
Computer Systems Design and Services,I don’t know,Platform,1,Docker,8,80.0,10,22
Computer Systems Design and Services,I don’t know,Platform,2,Pip,7,70.0,10,22
Computer Systems Design and Services,I don’t know,Platform,3,Amazon Web Services (AWS),5,50.0,10,22
Computer Systems Design and Services,I don’t know,Platform,4,Kubernetes,4,40.0,10,22
Computer Systems Design and Services,I don’t know,Platform,5,Make,4,40.0,10,22
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,1,openAI GPT (chatbot models),16,80.0,20,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,2,Gemini (Flash general purpose models),11,55.0,20,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,3,openAI Reasoning models,10,50.0,20,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,4,DeepSeek (V- General purpose models),8,40.0,20,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",AIModels,5,Anthropic: Claude Sonnet,7,35.0,20,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,1,MySQL,19,50.0,38,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,2,Microsoft SQL Server,18,47.4,38,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,3,PostgreSQL,17,44.7,38,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,4,SQLite,15,39.5,38,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Database,5,Microsoft Access,14,36.8,38,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,1,npm,17,43.6,39,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,2,Docker,16,41.0,39,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,3,Pip,14,35.9,39,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,4,Google Cloud,12,30.8,39,65
Computer Systems Design and Services,"Just me - I am a freelancer, sole proprietor, etc.",Platform,5,Microsoft Azure,10,25.6,39,65
Computer Systems Design and Services,Less than 20 employees,AIModels,1,openAI GPT (chatbot models),52,81.2,64,134
Computer Systems Design and Services,Less than 20 employees,AIModels,2,Anthropic: Claude Sonnet,23,35.9,64,134
Computer Systems Design and Services,Less than 20 employees,AIModels,3,Gemini (Flash general purpose models),23,35.9,64,134
Computer Systems Design and Services,Less than 20 employees,AIModels,4,openAI Reasoning models,23,35.9,64,134
Computer Systems Design and Services,Less than 20 employees,AIModels,5,DeepSeek (R- Reasoning models),22,34.4,64,134
Computer Systems Design and Services,Less than 20 employees,Database,1,PostgreSQL,44,53.0,83,134
Computer Systems Design and Services,Less than 20 employees,Database,2,MySQL,36,43.4,83,134
Computer Systems Design and Services,Less than 20 employees,Database,3,SQLite,34,41.0,83,134
Computer Systems Design and Services,Less than 20 employees,Database,4,MariaDB,33,39.8,83,134
Computer Systems Design and Services,Less than 20 employees,Database,5,Microsoft SQL Server,30,36.1,83,134
Computer Systems Design and Services,Less than 20 employees,Platform,1,Docker,66,75.9,87,134
Computer Systems Design and Services,Less than 20 employees,Platform,2,npm,47,54.0,87,134
Computer Systems Design and Services,Less than 20 employees,Platform,3,Pip,45,51.7,87,134
Computer Systems Design and Services,Less than 20 employees,Platform,4,Amazon Web Services (AWS),37,42.5,87,134
Computer Systems Design and Services,Less than 20 employees,Platform,5,Make,32,36.8,87,134
Energy,"1,000 to 4,999 employees",AIModels,1,openAI GPT (chatbot models),28,77.8,36,111
Energy,"1,000 to 4,999 employees",AIModels,2,Anthropic: Claude Sonnet,18,50.0,36,111
Energy,"1,000 to 4,999 employees",AIModels,3,Gemini (Pro Reasoning models),13,36.1,36,111
Energy,"1,000 to 4,999 employees",AIModels,4,openAI Reasoning models,13,36.1,36,111
Energy,"1,000 to 4,999 employees",AIModels,5,Gemini (Flash general purpose models),12,33.3,36,111
Energy,"1,000 to 4,999 employees",Database,1,PostgreSQL,35,50.0,70,111
Energy,"1,000 to 4,999 employees",Database,2,Microsoft SQL Server,27,38.6,70,111
Energy,"1,000 to 4,999 employees",Database,3,SQLite,24,34.3,70,111
Energy,"1,000 to 4,999 employees",Database,4,Oracle,20,28.6,70,111
Energy,"1,000 to 4,999 employees",Database,5,MySQL,16,22.9,70,111
Energy,"1,000 to 4,999 employees",Platform,1,Docker,47,71.2,66,111
Energy,"1,000 to 4,999 employees",Platform,2,npm,32,48.5,66,111
Energy,"1,000 to 4,999 employees",Platform,3,Microsoft Azure,27,40.9,66,111
Energy,"1,000 to 4,999 employees",Platform,4,Amazon Web Services (AWS),24,36.4,66,111
Energy,"1,000 to 4,999 employees",Platform,5,Pip,23,34.8,66,111
Energy,"10,000 or more employees",AIModels,1,openAI GPT (chatbot models),33,75.0,44,96
Energy,"10,000 or more employees",AIModels,2,Anthropic: Claude Sonnet,21,47.7,44,96
Energy,"10,000 or more employees",AIModels,3,Gemini (Flash general purpose models),14,31.8,44,96
Energy,"10,000 or more employees",AIModels,4,openAI Reasoning models,14,31.8,44,96
Energy,"10,000 or more employees",AIModels,5,Gemini (Pro Reasoning models),12,27.3,44,96
Energy,"10,000 or more employees",Database,1,PostgreSQL,36,51.4,70,96
Energy,"10,000 or more employees",Database,2,Microsoft SQL Server,30,42.9,70,96
Energy,"10,000 or more employees",Database,3,SQLite,23,32.9,70,96
Energy,"10,000 or more employees",Database,4,MySQL,19,27.1,70,96
Energy,"10,000 or more employees",Database,5,Redis,17,24.3,70,96
Energy,"10,000 or more employees",Platform,1,Docker,49,72.1,68,96
Energy,"10,000 or more employees",Platform,2,Pip,41,60.3,68,96
Energy,"10,000 or more employees",Platform,3,npm,36,52.9,68,96
